codigo;codigo_legacy;capitulo;partida;descripcion;unidad;precio;categoria;subcategoria;apartado;coste_materiales;coste_mano_obra;coste_complementarios;coste_otros;rendimiento;desperdicio_pct;notas_tecnicas
01.01.01.010;;Actuaciones previas;Desconexión de instalación eléctrica existente.;Desconexión de la instalación eléctrica existente previa a la obra, con corte de suministro y protección. Incluye la verificación de ausencia de tensión y el bloqueo del circuito. Medido por instalación desconectada.;ud;8.41;01 Actuaciones previas;01.01 Desconexión y aislamiento de servicios existentes;01.01.01 Desconexión de instalaciones;0.22;5.80;0.06;0.39;1.200 h/ud;;Coste directo 6.47 USD + margen 30%
01.01.01.020;;Actuaciones previas;Desconexión de instalación de agua.;Desconexión de la instalación de agua existente previa a la obra, con cierre de llaves. Incluye el cierre y la verificación de estanqueidad. Medido por instalación desconectada.;ud;11.84;01 Actuaciones previas;01.01 Desconexión y aislamiento de servicios existentes;01.01.01 Desconexión de instalaciones;4.67;4.35;0.09;0.00;0.900 h/ud;;Coste directo 9.11 USD + margen 30%
01.01.01.030;;Actuaciones previas;Desconexión de instalación de gas.;Desconexión de la instalación de gas existente previa a la obra, con cierre de llave. Incluye el cierre y la verificación de ausencia de fugas. Medido por instalación desconectada.;ud;13.18;01 Actuaciones previas;01.01 Desconexión y aislamiento de servicios existentes;01.01.01 Desconexión de instalaciones;4.97;5.07;0.10;0.00;1.050 h/ud;;Coste directo 10.14 USD + margen 30%
01.01.01.040;;Actuaciones previas;Desconexión de equipo de aire acondicionado.;Desconexión de equipo de aire acondicionado, con recuperación de refrigerante. Incluye la recuperación y la desconexión eléctrica. Medido por equipo desconectado.;ud;10.47;01 Actuaciones previas;01.01 Desconexión y aislamiento de servicios existentes;01.01.01 Desconexión de instalaciones;0.22;5.80;0.08;1.95;1.200 h/ud;;Coste directo 8.05 USD + margen 30%
01.01.02.010;;Actuaciones previas;Cierre y bloqueo de suministro eléctrico.;Cierre y bloqueo del suministro eléctrico general de la zona de obra. Incluye el cierre del interruptor general y el bloqueo. Medido por servicio bloqueado.;ud;5.25;01 Actuaciones previas;01.01 Desconexión y aislamiento de servicios existentes;01.01.02 Aislamiento y cierre de servicios;0.11;3.63;0.04;0.26;0.750 h/ud;;Coste directo 4.04 USD + margen 30%
01.01.02.020;;Actuaciones previas;Cierre y drenaje de instalación de agua.;Cierre y drenaje de la instalación de agua de la zona de obra. Incluye el cierre de llaves y el vaciado de las tuberías. Medido por servicio cerrado.;ud;5.56;01 Actuaciones previas;01.01 Desconexión y aislamiento de servicios existentes;01.01.02 Aislamiento y cierre de servicios;0.13;3.63;0.04;0.48;0.750 h/ud;;Coste directo 4.28 USD + margen 30%
01.01.02.030;;Actuaciones previas;Aislamiento de servicio de gas existente.;Aislamiento del servicio de gas existente, con cierre y taponado provisional. Incluye el cierre de la llave y el taponado seguro. Medido por servicio aislado.;ud;12.18;01 Actuaciones previas;01.01 Desconexión y aislamiento de servicios existentes;01.01.02 Aislamiento y cierre de servicios;4.93;4.35;0.09;0.00;0.900 h/ud;;Coste directo 9.37 USD + margen 30%
01.02.01.010;CT-01-04-010;Actuaciones previas;Cata en pared para reconocimiento de instalaciones o soporte.;Apertura de cata de reconocimiento en pared, de dimensiones aproximadas 30x30 cm, para identificar el tipo de soporte, su espesor o la presencia de instalaciones empotradas antes de proyectar la intervención. Incluye la localización previa con detector electrónico para no perforar una tubería o un cable en servicio, el picado controlado por capas hasta descubrir el elemento buscado, el registro fotográfico del hallazgo, y el resane de la cata con mortero de reparación dejando el paramento apto para su acabado. Medido por cata realmente ejecutada.;ud;8.22;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;1.48;3.36;0.06;1.42;0.720 h/ud;;Coste directo 6.32 USD + margen 30%
01.02.01.020;CT-01-04-020;Actuaciones previas;Cata en piso o losa para reconocimiento de capas o instalaciones.;Apertura de cata de reconocimiento en piso o losa, de dimensiones aproximadas 40x40 cm, para identificar el espesor y el estado del afirmado, la existencia de impermeabilización o la presencia de instalaciones enterradas antes de definir la intervención. Incluye la localización previa con detector, el corte perimetral con disco para obtener un borde limpio, el picado por capas con registro del espesor de cada una, el registro fotográfico, y la reposición de la cata con mortero de reparación enrasado con el nivel existente. Medido por cata realmente ejecutada.;ud;12.53;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;2.77;4.43;0.10;2.34;0.950 h/ud;;Coste directo 9.64 USD + margen 30%
01.02.01.030;CT-01-04-030;Actuaciones previas;Detección no destructiva de instalaciones empotradas.;Localización de tuberías, canalizaciones eléctricas y armaduras empotradas mediante detector electrónico, sin picar el paramento, con marcado del trazado sobre la superficie. Es el paso previo que evita cortar una instalación en servicio al abrir rozas o taladrar, y permite replantear las nuevas canalizaciones esquivando las existentes. Incluye el barrido sistemático de la superficie, el marcado del trazado detectado, la anotación de las profundidades estimadas y el levantamiento de un croquis de lo localizado. Medido en superficie realmente barrida.;m2;1.46;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.05;0.72;0.01;0.34;0.130 h/m²;;Coste directo 1.12 USD + margen 30%
